Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,X,Y,Latitude,Longitude,Elevation (ft),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,City Generator Link
372,Sollur,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,167,1217.8,279.2,51.43,12.62,82,52°F,Antwerp,,,citadel,,plaza,,,{t1:barry-or-sable-smaller;ordinaries:[{ordinary:chevronReversed;t:gules}];shield:heater},https://watabou.github.io/city-generator/?name=Sollur&population=167&size=6&seed=8563657060372&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
373,Herrassisa,North Chosia,North Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Wisdom,1781,1255,295,50.66,14.44,30,54°F,Paris,,,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:chief;t:sable;line:straight}];charges:[{charge:bookClosed;t:argent;p:abc;t2:argent;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Herrassisa&population=1781&size=11&seed=8563657060373&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
374,Myrira,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,1231,1054.82,294.4,50.69,4.64,161,54°F,Paris,,,,,plaza,temple,,{t1:purpure;ordinaries:[{ordinary:crossParted;t:argent;line:straight}];charges:[{charge:porcupine;t:purpure;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Myrira&population=1231&size=9&seed=8563657060374&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
375,Skondyr,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Craft,1551,1009,303.5,50.25,2.4,13,54°F,Paris,,port,citadel,walls,plaza,temple,,{t1:argent;division:{division:perBend;t:gules;line:straight};charges:[{charge:plaice;t:purpure;p:lm;t2:purpure;divided:counter;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Skondyr&population=1551&size=10&seed=8563657060375&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.94
376,Mil'arrizju,North Chosia,North Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,920,1174.46,301.79,50.33,10.5,118,54°F,Paris,,,,,plaza,,,{t1:sable;charges:[{charge:serpent;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=920&name=&seed=8563657060376&width=1000&height=455&tags=confluence%2Chighway%2Cdense
377,Hovdalsoy,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Trade,176,1098.96,305.23,50.17,6.8,210,54°F,Paris,,,,,plaza,,,{t1:argent;charges:[{charge:crossHummetty;t:purpure;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=176&name=&seed=8563657060377&width=600&height=273&tags=river%2Chighway
378,Penarinsoso,Taining,Taining Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,735,1522.86,310.63,49.9,27.56,52,54°F,Paris,,,,walls,plaza,,,{t1:or;ordinaries:[{ordinary:bend;t:gules;line:straight}];charges:[{charge:pike;t:or;p:joe;t2:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Penarinsoso&population=735&size=8&seed=8563657060378&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
379,Guiro,Taining,Taining Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,810,1543.15,313.13,49.78,28.55,82,54°F,Paris,,,,,plaza,,,{t1:chequy-or-purpure;charges:[{charge:shears;t:sable;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=810&name=&seed=8563657060379&width=1000&height=455&tags=highway%2Cdense
380,Dagos,Taining,Taining Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,833,1473,316.12,49.64,25.12,13,54°F,Paris,,,,walls,plaza,,,{t1:or;charges:[{charge:garb;t:or;p:jln;t2:or;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Dagos&population=833&size=8&seed=8563657060380&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
381,Inngenga,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,952,1316,324.5,49.23,17.43,118,54°F,Paris,,port,,walls,plaza,,,{t1:or;ordinaries:[{ordinary:chevron;t:purpure}];shield:heater},https://watabou.github.io/city-generator/?name=Inngenga&population=952&size=9&seed=8563657060381&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&sea=0.51
382,Sangon,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,247,1654.5,322,49.35,34,161,54°F,Paris,,port,,,plaza,,,{t1:sable;charges:[{charge:anchor;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=247&name=&seed=8563657060382&width=800&height=364&tags=coast%2Chighway
383,Olzeshje,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Kili'ini,Deities of Trade,113,1097.9,325.41,49.19,6.75,472,52°F,Antwerp,,,,walls,,,,{t1:sable;charges:[{charge:wolfHeadErased;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Olzeshje&population=113&size=6&seed=8563657060383&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
384,Pinda,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deities of Wisdom,109,1556.41,328.09,49.05,29.2,82,54°F,Paris,,,,,,,,{t1:or;charges:[{charge:earOfWheat;t:gules;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=109&name=&seed=8563657060384&width=600&height=273&tags=river%2Cdead+end%2Cno+square
385,Milvo,Volaiy,Volaiy Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,111,1485.4,332.55,48.84,25.72,328,52°F,Antwerp,,,,,,,,{t1:vert;division:{division:perFess;t:fusily-argent-gules;line:straight};shield:heater},https://watabou.github.io/village-generator/?pop=111&name=&seed=8563657060385&width=600&height=273&tags=river%2Chighway%2Cno+square
386,Hoichiping,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,113,1609.91,332.27,48.85,31.82,82,54°F,Paris,,,,walls,,,,{t1:gules;charges:[{charge:stagPassant;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Hoichiping&population=113&size=6&seed=8563657060386&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
387,Poyuenmun,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,111,1616.6,336.61,48.64,32.15,118,54°F,Paris,,,,,plaza,,,{t1:sable;charges:[{charge:talbotPassant;t:or;p:e;t2:or;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=111&name=&seed=8563657060387&width=600&height=273&tags=highway
388,Orofokurko,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,175,1303.5,339,48.52,16.82,30,54°F,Paris,,port,,,,,,{t1:gules;division:{division:perCross;t:or;line:invecked};charges:[{charge:heart;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=175&name=&seed=8563657060388&width=600&height=273&tags=coast%2Cdead+end%2Cfarmland%2Cno+square
389,Rrisher,Inver,Inver Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Kili'ini,Deities of Craft,236,1021.1,344.45,48.26,2.99,82,54°F,Paris,,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:chief;t:or;line:straight}];charges:[{charge:fusil;t:gules;p:abc;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=236&name=&seed=8563657060389&width=800&height=364&tags=dead+end
390,Maznahla,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,238,432.99,351.01,47.94,-25.8,13,55°F,Milan,,,,,,,,{t1:maily-azure-or;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:mullet6Faceted;t:gules;p:e;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=238&name=&seed=8563657060390&width=800&height=364&tags=dead+end%2Cno+square
391,Khat,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,115,456.8,353,47.84,-24.64,13,55°F,Milan,,,,,,,,{t1:or;charges:[{charge:rake;t:azure;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=115&name=&seed=8563657060391&width=600&height=273&tags=dead+end%2Cno+square
392,Fronha,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,672,1539.27,349.12,48.03,28.36,161,55°F,Milan,,,,walls,plaza,,,{t1:vert;charges:[{charge:crossJerusalem;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Fronha&population=672&size=8&seed=8563657060392&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
393,Toishingdak,Lifeng,Lifeng Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,370,1635.83,357.41,47.63,33.09,472,54°F,Paris,,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:terrace;t:argent;line:rayonne}];charges:[{charge:triangle;t:argent;p:def;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=370&name=&seed=8563657060393&width=800&height=364&tags=dead+end%2Cdense
394,Bordineske,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,360,1378,356,47.7,20.46,210,55°F,Milan,,port,,,plaza,,,{t1:gules;ordinaries:[{ordinary:bend;t:or;line:straight}];charges:[{charge:dolphin;t:or;p:cg;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=360&name=&seed=8563657060394&width=800&height=364&tags=coast%2Chighway%2Cdense
395,Naj'i,Ostonos,Ostonos Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,116,979.05,369.14,47.06,0.93,118,55°F,Milan,,,,,,,,{t1:gules;charges:[{charge:boarHeadErased;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=116&name=&seed=8563657060395&width=600&height=273&tags=dead+end%2Cno+square
396,Caj'jass,North Chosia,North Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,334,1129.92,367.9,47.12,8.32,554,54°F,Paris,,,,,plaza,,,{t1:gules;division:{division:perFess;t:barry-azure-argent;line:straight};charges:[{charge:triangle;t:or;p:k;size:0.7};{charge:peacock;t:or;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=334&name=&seed=8563657060396&width=800&height=364&tags=river%2Chighway%2Cfarmland%2Cdense
397,Sku'jej,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,977,1183.19,373.22,46.86,10.93,52,55°F,Milan,,,citadel,,plaza,,,{t1:gules;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:lochaberAxe;t:gules;p:behdf;t2:gules;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Sku%27jej&population=977&size=9&seed=8563657060397&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
398,Fillorthan,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Craft,112,621.5,387.1,46.19,-16.57,118,55°F,Milan,,,,walls,,,,{t1:sable;charges:[{charge:hatchet;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Fillorthan&population=112&size=6&seed=8563657060398&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
399,Kethsalas,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Craft,112,642.68,386.48,46.22,-15.54,118,55°F,Milan,,,citadel,,plaza,,,{t1:or;charges:[{charge:wyvernWithWingsDisplayed;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Kethsalas&population=112&size=6&seed=8563657060399&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
400,Shil'arri,Inira,Inira Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Wisdom,313,1309.27,382.59,46.41,17.1,13,55°F,Milan,,,citadel,,plaza,,,{t1:or;charges:[{charge:billet;t:azure;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shil%27arri&population=313&size=6&seed=8563657060400&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
401,Mil'arressa,Ostonos,Ostonos Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,137,1019.99,389.32,46.08,2.94,161,55°F,Milan,,,,,plaza,,,{t1:or;ordinaries:[{ordinary:mount;t:sable}];charges:[{charge:greyhoundRampant;t:sable;p:e;t2:sable;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=137&name=&seed=8563657060401&width=600&height=273&tags=pond%2Cdead+end
402,Rurgarkush,Ostonos,Ostonos Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,869,947.94,395.72,45.77,-0.59,30,55°F,Milan,,,,walls,plaza,,,{t1:argent;charges:[{charge:bridge;t:vert;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Rurgarkush&population=869&size=8&seed=8563657060402&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
403,Riras,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,430,1535.7,394.97,45.8,28.19,161,55°F,Milan,,,,,,,,{t1:gules;division:{division:perFess;t:or;line:straight};charges:[{charge:crossPattee;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=430&name=&seed=8563657060403&width=800&height=364&tags=highway%2Cno+square%2Cdense
404,Ranah,Concatia,Concatia Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,211,504.9,401.3,45.5,-22.28,266,54°F,Paris,,,citadel,,plaza,,,{t1:or;division:{division:perBend;t:sable;line:engrailed};charges:[{charge:mullet;t:gules;p:l;size:0.7};{charge:greyhoundSejant;t:argent;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Ranah&population=211&size=6&seed=8563657060404&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
405,Pu'he,Ostonos,Ostonos Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,423,956.5,397,45.71,-0.17,328,54°F,Paris,,port,,,plaza,,,{t1:vert;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:roundel;t:vert;p:h;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=423&name=&seed=8563657060405&width=800&height=364&tags=coast%2Cdead+end%2Cdense
406,Leirapo,Volaiy,Volaiy Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,1241,1454.91,405.33,45.3,24.23,13,55°F,Milan,,,,walls,plaza,temple,shanty town,{t1:purpure;division:{division:perPale;t:argent;line:nebuly};charges:[{charge:gear;t:or;p:p;size:0.7};{charge:sword;t:gules;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Leirapo&population=1241&size=9&seed=8563657060406&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
407,Almur,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,115,314.02,409.31,45.11,-31.63,13,55°F,Milan,,,,walls,,,,{t1:purpure;charges:[{charge:stagPassant;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Almur&population=115&size=6&seed=8563657060407&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
408,Najrah,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,473,373.62,410.62,45.04,-28.71,30,55°F,Milan,,,,,plaza,,,{t1:gules;division:{division:perPale;t:or;line:straight};charges:[{charge:pike;t:argent;p:e;t2:argent;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=473&name=&seed=8563657060408&width=800&height=364&tags=highway%2Cdense
409,Abahtani,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,1301,457.26,407.92,45.18,-24.61,82,55°F,Milan,,,citadel,walls,plaza,,,{t1:potentInPale-or-gules;ordinaries:[{ordinary:bendlet;t:sable;line:straight}];charges:[{charge:mullet8;t:or;p:joe;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Abahtani&population=1301&size=10&seed=8563657060409&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
410,Namtin,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Henyish,Deities of Wisdom,1141,1592.94,412.64,44.95,30.99,1312,52°F,Antwerp,,,citadel,walls,plaza,,,{t1:purpure;charges:[{charge:serpent;t:argent;p:e;t2:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Namtin&population=1141&size=9&seed=8563657060410&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
411,Fenesver,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,1686,1385.5,422,44.49,20.83,210,57°F,Batumi,,port,,walls,plaza,temple,,{t1:or;ordinaries:[{ordinary:cross;t:gules;line:wavy}];charges:[{charge:sunInSplendour;t:or;p:behdf;size:0.3}];shield:heater},https://watabou.github.io/city-generator/?name=Fenesver&population=1686&size=11&seed=8563657060411&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&sea=1.99
412,Lifelavapo,Leyano,Leyano Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,496,1528.3,418.2,44.68,27.82,13,57°F,Batumi,,,,,plaza,,,{t1:argent;ordinaries:[{ordinary:quarter;t:gules}];charges:[{charge:swan;t:argent;p:j;t2:argent;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=496&name=&seed=8563657060412&width=800&height=364&tags=dead+end%2Cdense
413,Astaqhayq,The East,The East Province,Ulbagra'a,Ulbagra'an Empire,Everoli,Deities of Sands,113,327.74,426.31,44.28,-30.95,118,57°F,Batumi,,,,,,,,{t1:counterVair-gules-argent;charges:[{charge:drawingCompass;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=113&name=&seed=8563657060413&width=600&height=273&tags=river%2Cdead+end%2Cno+square
414,Pazash,South Chosia,South Chosia Province,Shi'in,Kingdom of Shi'in,Kili'ini,Deities of Trade,913,1133.7,422.1,44.49,8.5,30,57°F,Batumi,,,citadel,,plaza,,,{t1:or;charges:[{charge:cock;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Pazash&population=913&size=8&seed=8563657060414&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
415,Setiavendi,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,293,1331.1,434.5,43.88,18.17,52,57°F,Batumi,,,,,plaza,,,{t1:gules;charges:[{charge:crossOccitan;t:argent;p:beh;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=293&name=&seed=8563657060415&width=800&height=364&tags=dead+end
416,Drangdager,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Ruvamian,Deities of Wisdom,556,1358.59,435.1,43.85,19.51,13,57°F,Batumi,,,,,plaza,,,{t1:vert;charges:[{charge:grenade;t:or;p:jlh;t2:or;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=556&name=&seed=8563657060416&width=1000&height=455&tags=island%2Cdistrict%2Cisolated%2Cdense
417,Susanes,Khar,Khar Province,Inver-Khar,Twin Kingdoms of Inver-Khar,Ruvamian,Deities of Wisdom,175,1414.5,435.5,43.83,22.25,52,57°F,Batumi,,port,,,,,,{t1:or;charges:[{charge:anchor;t:purpure;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=175&name=&seed=8563657060417&width=600&height=273&tags=coast%2Cdead+end%2Cno+square
418,Tagoinquer,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Vealian,Deities of Wisdom,747,1537.97,434.4,43.89,28.3,52,57°F,Batumi,,,,,plaza,,,{t1:azure;charges:[{charge:snake;t:argent;p:abc;t2:argent;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=747&name=&seed=8563657060418&width=1000&height=455&tags=highway%2Cdense
419,Zulad,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,512,342.9,438.9,43.67,-30.21,30,57°F,Batumi,,,,,plaza,,,{t1:gules;charges:[{charge:cavalier;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=512&name=&seed=8563657060419&width=1000&height=455&tags=river%2Chighway%2Cdense
420,Ragabwah,Nildiskog,Nildiskog Province,Evralas,Evralasian Empire,Everoli,Deities of Sands,138,361.45,441.82,43.53,-29.3,161,57°F,Batumi,,,,,plaza,,,{t1:or;division:{division:chevronny;t:vert};charges:[{charge:comet;t:sable;p:behdf;divided:counter;size:0.4}];shield:heater},https://watabou.github.io/village-generator/?pop=138&name=&seed=8563657060420&width=600&height=273&tags=dead+end
421,Poreira,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,122,1524.53,440.41,43.6,27.64,82,57°F,Batumi,,,,,plaza,,,{t1:argent;division:{division:perFess;t:chequy-gules-or;line:straight};charges:[{charge:billet;t:purpure;p:k;size:0.7};{charge:owlDisplayed;t:azure;p:n;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=122&name=&seed=8563657060421&width=600&height=273&tags=river%2Chighway%2Cfarmland
422,Zar'thez,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,116,1062.44,454.91,42.89,5.02,13,57°F,Batumi,,,,,,,,{t1:gules;ordinaries:[{ordinary:pilesInPoint;t:argent}];charges:[{charge:stagsAttires;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=116&name=&seed=8563657060422&width=600&height=273&tags=island%2Cdistrict%2Cisolated%2Cfarmland%2Cno+square
423,Alpalhal,Nanli,Nanli Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,275,1422.63,458.3,42.73,22.65,210,57°F,Batumi,,,,,plaza,,,{t1:sable;charges:[{charge:eagleTwoHeads;t:argent;p:e;t2:argent;t3:or;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=275&name=&seed=8563657060423&width=800&height=364&tags=highway
424,Panhafiel,Henveya,Henyung Province,Lauyien,Kingdom of Lauyien,Vealian,Deities of Wisdom,525,1537.74,468.53,42.23,28.29,82,57°F,Batumi,,,,,plaza,,,{t1:gules;charges:[{charge:crocodile;t:or;p:beh;t2:or;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=525&name=&seed=8563657060424&width=1000&height=455&tags=dead+end%2Cdense
425,Xullij'ass,Kili'ini,Kili'ini Province,Pareptul,Empire of Pareptul,Kili'ini,Deities of Trade,116,1063.73,473.56,41.98,5.08,30,59°F,Rome,,,,walls,plaza,,,{t1:gules;ordinaries:[{ordinary:pile;t:or}];charges:[{charge:sword;t:gules;p:b;t2:gules;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Xullij%27ass&population=116&size=6&seed=8563657060425&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
426,Graintaril,Shuanhua,Shuanhua Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,112,1497.42,474.43,41.94,26.31,30,59°F,Rome,,,citadel,,,,,{t1:pappellony-argent-gules;division:{division:perFess;t:azure;line:straight};charges:[{charge:goutte;t:sable;p:k;size:0.7};{charge:hatchet;t:or;p:n;size:0.7;sinister:1}];shield:heater},https://watabou.github.io/city-generator/?name=Graintaril&population=112&size=6&seed=8563657060426&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
427,Sellesie,Virmaa,Virmaa Province,Evralas,Evralasian Empire,Nevterish,Deities of Nature,168,552.5,485,41.43,-19.95,1588,54°F,Paris,,port,,,plaza,,,{t1:gules;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:crosslet;t:gules;p:ach;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=168&name=&seed=8563657060427&width=600&height=273&tags=coast%2Chighway
428,Coentralhal,Nanli,Nanli Province,Lauyien,Kingdom of Lauyien,Vealian,Deity of High Truth,112,1453.76,482.92,41.53,24.17,118,59°F,Rome,,,,,plaza,,,{t1:argent;charges:[{charge:ramHeadErased;t:gules;p:jln;t2:gules;t3:gules;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=112&name=&seed=8563657060428&width=600&height=273&tags=dead+end
429,Lacrem,Sidania,Sidania Province,West Esla,Kingdom of West Esla,Esla'rei,Deities of Wisdom,1194,1347.8,489.8,41.2,18.99,30,59°F,Rome,,,citadel,walls,plaza,,,{t1:palyBendy-sable-or;division:{division:perFess;t:argent;line:straight};shield:heater},https://watabou.github.io/city-generator/?name=Lacrem&population=1194&size=9&seed=8563657060429&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
430,Raj'ess,Maroris,Maroris Province,Salvania,Salvanian Kingdom,Kili'ini,Deities of Trade,127,977.73,497.35,40.83,0.87,397,57°F,Batumi,,,,,,,,{t1:vert;charges:[{charge:crossMaltese;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/village-generator/?pop=127&name=&seed=8563657060430&width=600&height=273&tags=pond%2Cdead+end%2Cno+square
431,Slallaj'ige,Armilia,Armilia Province,West Esla,Kingdom of West Esla,Kili'ini,Deities of Trade,1490,1158.2,500.1,40.7,9.7,13,59°F,Rome,,,citadel,,plaza,temple,,{t1:gules;division:{division:chevronny;t:bendy-argent-sable};charges:[{charge:ramsHorn;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Slallaj%27ige&population=1490&size=10&seed=8563657060431&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
